Scheme Name,Scheme Code
Aditya Birla Sun Life Short Term Fund - Growth - Regular Plan,101844
Tata Money Market Fund-Regular Plan - Growth Option,101847
TATA Infrastructure Fund Regular Plan - Payout of IDCW Option,101852
Sundaram Value Fund Regular Plan - Growth,101853
Nippon India Banking & Financial Services Fund-Growth Plan-Growth Option,101862
Nippon India Banking & Financial Services Fund-Growth Plan-Bonus Option,101863
Nippon India Banking & Financial Services Fund - IDCW Option,101864
LIC MF Conservative Hybrid Fund-Regular Plan-Monthly IDCW,101866
LIC MF Conservative Hybrid Fund-Regular Plan-Quarterly IDCW,101867
LIC MF Conservative Hybrid Fund-Regular Plan-Yearly IDCW,101868
LIC MF Conservative Hybrid Fund-Regular Plan-Growth,101869
HDFC Dynamic Debt Fund - Growth Option,101872
HDFC Dynamic Debt Fund - Quarterly IDCW Option,101873
